vertex_id,node_id,x,y,cluster_id
0,0,431.0,-174.0,0
1,1,425.0,-250.0,2
2,2,362.0,-189.0,5
3,3,470.0,-183.0,-1
4,4,438.0,-246.0,2
5,5,427.0,-135.0,-1
6,6,401.0,-239.0,3
7,7,424.0,-217.0,2
8,8,495.0,-111.0,-1
9,9,455.0,-268.0,2
10,10,401.0,-238.0,3
11,11,461.0,-243.0,-1
12,12,450.0,-280.0,2
13,13,432.0,-289.0,2
14,14,386.0,-250.0,3
15,15,478.0,-234.0,-1
16,16,431.0,-271.0,2
17,17,442.0,-292.0,2
18,18,470.0,-216.0,-1
19,19,563.0,-170.0,-1
20,20,443.0,-252.0,2
21,21,492.0,-145.0,-1
22,22,460.0,-271.0,2
23,23,427.0,-283.0,2
24,24,336.0,-149.0,-1
25,25,371.0,-149.0,-1
26,26,397.0,-256.0,3
27,27,431.0,-221.0,2
28,28,415.0,-259.0,2
29,29,448.0,-146.0,0
30,30,469.0,-151.0,1
31,31,374.0,-211.0,4
32,32,393.0,-237.0,3
33,33,421.0,-159.0,0
34,34,351.0,-168.0,5
35,35,428.0,-275.0,2
36,36,356.0,-168.0,5
37,37,419.0,-257.0,2
38,38,442.0,-259.0,2
39,39,398.0,-202.0,4
40,40,430.0,-158.0,0
41,41,447.0,-260.0,2
42,42,400.0,-221.0,-1
43,43,355.0,-181.0,5
44,44,441.0,-127.0,-1
45,45,428.0,-279.0,2
46,46,459.0,-287.0,2
47,47,353.0,-160.0,5
48,48,442.0,-296.0,2
49,49,448.0,-286.0,2
50,50,448.0,-306.0,-1
51,51,382.0,-180.0,-1
52,52,513.0,-176.0,-1
53,53,536.0,-183.0,-1
54,54,350.0,-173.0,5
55,55,397.0,-256.0,3
56,56,423.0,-246.0,2
57,57,412.0,-258.0,2
58,58,403.0,-142.0,-1
59,59,416.0,-260.0,2
60,60,432.0,-245.0,2
61,61,370.0,-200.0,5
62,62,471.0,-136.0,1
63,63,395.0,-156.0,-1
64,64,518.0,-146.0,-1
65,65,547.0,-151.0,-1
66,66,434.0,-149.0,0
67,67,531.0,-128.0,-1
68,68,369.0,-180.0,5
69,69,475.0,-295.0,-1
70,70,425.0,-234.0,2
71,71,424.0,-239.0,2
72,72,492.0,-199.0,-1
73,73,381.0,-241.0,3
74,74,462.0,-141.0,1
75,75,374.0,-220.0,-1
76,76,426.0,-185.0,0
77,77,427.0,-227.0,2
78,78,375.0,-168.0,-1
79,79,386.0,-198.0,4
80,80,389.0,-253.0,3
81,81,435.0,-252.0,2
82,82,384.0,-211.0,4
83,83,456.0,-295.0,2
84,84,461.0,-284.0,2
85,85,502.0,-189.0,-1
86,86,448.0,-283.0,2
87,87,390.0,-234.0,3
88,88,391.0,-256.0,3
89,89,467.0,-194.0,-1
90,90,430.0,-194.0,0
91,91,437.0,-180.0,0
92,92,438.0,-137.0,0
93,93,473.0,-143.0,1
94,94,407.0,-195.0,-1
95,95,438.0,-186.0,0
96,96,425.0,-204.0,-1
97,97,425.0,-168.0,0
98,98,463.0,-252.0,-1
99,99,462.0,-221.0,-1
100,100,444.0,-270.0,2
101,101,444.0,-280.0,2
102,102,441.0,-228.0,-1
103,103,418.0,-238.0,2
104,104,509.0,-151.0,-1
105,105,508.0,-133.0,-1
106,106,394.0,-207.0,4
107,107,435.0,-162.0,0
108,108,397.0,-248.0,3
109,109,415.0,-233.0,2
110,110,430.0,-252.0,2
111,111,441.0,-166.0,0
112,112,435.0,-173.0,0
113,113,446.0,-165.0,0
114,114,472.0,-247.0,-1
115,115,439.0,-193.0,0
116,116,440.0,-278.0,2
117,117,547.0,-165.0,-1
118,118,542.0,-147.0,-1
119,119,520.0,-130.0,-1
120,120,468.0,-137.0,1
121,121,500.0,-192.0,-1
