vertex_id,node_id,x,y,cluster_id
0,0,431.0,-174.0,0
1,1,425.0,-250.0,1
2,2,362.0,-189.0,1
3,3,470.0,-183.0,2
4,4,438.0,-246.0,1
5,5,427.0,-135.0,0
6,6,401.0,-239.0,1
7,7,424.0,-217.0,1
8,8,495.0,-111.0,3
9,9,455.0,-268.0,1
10,10,401.0,-238.0,1
11,11,461.0,-243.0,1
12,12,450.0,-280.0,1
13,13,432.0,-289.0,1
14,14,386.0,-250.0,1
15,15,478.0,-234.0,1
16,16,431.0,-271.0,1
17,17,442.0,-292.0,1
18,18,470.0,-216.0,1
19,19,563.0,-170.0,0
20,20,443.0,-252.0,1
21,21,492.0,-145.0,0
22,22,460.0,-271.0,1
23,23,427.0,-283.0,1
24,24,336.0,-149.0,4
25,25,371.0,-149.0,1
26,26,397.0,-256.0,1
27,27,431.0,-221.0,1
28,28,415.0,-259.0,1
29,29,448.0,-146.0,0
30,30,469.0,-151.0,0
31,31,374.0,-211.0,1
32,32,393.0,-237.0,1
33,33,421.0,-159.0,0
34,34,351.0,-168.0,1
35,35,428.0,-275.0,1
36,36,356.0,-168.0,1
37,37,419.0,-257.0,1
38,38,442.0,-259.0,1
39,39,398.0,-202.0,1
40,40,430.0,-158.0,0
41,41,447.0,-260.0,1
42,42,400.0,-221.0,1
43,43,355.0,-181.0,1
44,44,441.0,-127.0,0
45,45,428.0,-279.0,1
46,46,459.0,-287.0,1
47,47,353.0,-160.0,1
48,48,442.0,-296.0,1
49,49,448.0,-286.0,1
50,50,448.0,-306.0,1
51,51,382.0,-180.0,1
52,52,513.0,-176.0,0
53,53,536.0,-183.0,0
54,54,350.0,-173.0,1
55,55,397.0,-256.0,1
56,56,423.0,-246.0,1
57,57,412.0,-258.0,1
58,58,403.0,-142.0,5
59,59,416.0,-260.0,1
60,60,432.0,-245.0,1
61,61,370.0,-200.0,1
62,62,471.0,-136.0,0
63,63,395.0,-156.0,5
64,64,518.0,-146.0,0
65,65,547.0,-151.0,0
66,66,434.0,-149.0,0
67,67,531.0,-128.0,0
68,68,369.0,-180.0,1
69,69,475.0,-295.0,6
70,70,425.0,-234.0,1
71,71,424.0,-239.0,1
72,72,492.0,-199.0,0
73,73,381.0,-241.0,1
74,74,462.0,-141.0,0
75,75,374.0,-220.0,1
76,76,426.0,-185.0,0
77,77,427.0,-227.0,1
78,78,375.0,-168.0,1
79,79,386.0,-198.0,1
80,80,389.0,-253.0,1
81,81,435.0,-252.0,1
82,82,384.0,-211.0,1
83,83,456.0,-295.0,1
84,84,461.0,-284.0,1
85,85,502.0,-189.0,0
86,86,448.0,-283.0,1
87,87,390.0,-234.0,1
88,88,391.0,-256.0,1
89,89,467.0,-194.0,2
90,90,430.0,-194.0,0
91,91,437.0,-180.0,0
92,92,438.0,-137.0,0
93,93,473.0,-143.0,0
94,94,407.0,-195.0,1
95,95,438.0,-186.0,0
96,96,425.0,-204.0,0
97,97,425.0,-168.0,0
98,98,463.0,-252.0,1
99,99,462.0,-221.0,1
100,100,444.0,-270.0,1
101,101,444.0,-280.0,1
102,102,441.0,-228.0,1
103,103,418.0,-238.0,1
104,104,509.0,-151.0,0
105,105,508.0,-133.0,0
106,106,394.0,-207.0,1
107,107,435.0,-162.0,0
108,108,397.0,-248.0,1
109,109,415.0,-233.0,1
110,110,430.0,-252.0,1
111,111,441.0,-166.0,0
112,112,435.0,-173.0,0
113,113,446.0,-165.0,0
114,114,472.0,-247.0,1
115,115,439.0,-193.0,0
116,116,440.0,-278.0,1
117,117,547.0,-165.0,0
118,118,542.0,-147.0,0
119,119,520.0,-130.0,0
120,120,468.0,-137.0,0
121,121,500.0,-192.0,0
