vertex_id,node_id,x,y,cluster_id
0,0,731.0,457.0,-1
1,1,571.0,484.0,-1
2,2,640.0,471.0,7
3,3,655.0,467.0,-1
4,4,796.0,557.0,-1
5,5,961.0,476.0,0
6,6,818.0,476.0,-1
7,7,847.0,584.0,-1
8,8,953.0,471.0,0
9,9,918.0,472.0,0
10,10,629.0,465.0,7
11,11,904.0,577.0,0
12,12,641.0,592.0,-1
13,13,725.0,556.0,-1
14,14,579.0,472.0,8
15,15,932.0,509.0,0
16,16,895.0,495.0,0
17,17,785.0,539.0,-1
18,18,1007.0,579.0,-1
19,19,642.0,554.0,1
20,20,630.0,453.0,7
21,21,828.0,503.0,-1
22,22,938.0,543.0,0
23,23,687.0,444.0,-1
24,24,693.0,497.0,5
25,25,619.0,469.0,7
26,26,604.0,462.0,-1
27,27,778.0,475.0,2
28,28,919.0,593.0,-1
29,29,795.0,581.0,-1
30,30,706.0,438.0,3
31,31,669.0,451.0,-1
32,32,907.0,537.0,0
33,33,613.0,448.0,-1
34,34,695.0,604.0,-1
35,35,585.0,468.0,8
36,36,934.0,480.0,0
37,37,708.0,440.0,3
38,38,632.0,503.0,1
39,39,875.0,495.0,0
40,40,928.0,476.0,0
41,41,882.0,514.0,0
42,42,709.0,484.0,5
43,43,604.0,477.0,-1
44,44,915.0,525.0,0
45,45,682.0,450.0,-1
46,46,763.0,485.0,2
47,47,618.0,475.0,7
48,48,990.0,500.0,0
49,49,881.0,526.0,0
50,50,658.0,458.0,-1
51,51,897.0,489.0,0
52,52,723.0,433.0,-1
53,53,787.0,475.0,2
54,54,891.0,474.0,0
55,55,620.0,455.0,7
56,56,959.0,475.0,0
57,57,845.0,479.0,0
58,58,758.0,467.0,2
59,59,925.0,506.0,0
60,60,563.0,470.0,-1
61,61,594.0,455.0,-1
62,62,945.0,493.0,0
63,63,790.0,615.0,-1
64,64,774.0,548.0,-1
65,65,711.0,457.0,3
66,66,627.0,450.0,8
67,67,886.0,533.0,0
68,68,961.0,600.0,-1
69,69,686.0,556.0,-1
70,70,806.0,509.0,-1
71,71,714.0,468.0,3
72,72,703.0,441.0,3
73,73,1004.0,586.0,-1
74,74,671.0,451.0,-1
75,75,741.0,569.0,-1
76,76,713.0,582.0,-1
77,77,699.0,466.0,3
78,78,616.0,575.0,-1
79,79,694.0,465.0,-1
80,80,641.0,522.0,1
81,81,969.0,562.0,0
82,82,949.0,472.0,0
83,83,803.0,476.0,2
84,84,632.0,493.0,-1
85,85,943.0,489.0,0
86,86,907.0,474.0,0
87,87,856.0,489.0,0
88,88,879.0,476.0,0
89,89,935.0,511.0,0
90,90,773.0,477.0,2
91,91,626.0,567.0,-1
92,92,946.0,498.0,0
93,93,979.0,502.0,0
94,94,713.0,437.0,3
95,95,944.0,471.0,0
96,96,1016.0,537.0,-1
97,97,703.0,456.0,3
98,98,897.0,483.0,0
99,99,971.0,504.0,0
100,100,946.0,526.0,0
101,101,929.0,473.0,0
102,102,611.0,456.0,7
103,103,782.0,586.0,-1
104,104,950.0,469.0,0
105,105,785.0,526.0,-1
106,106,596.0,495.0,4
107,107,553.0,463.0,-1
108,108,720.0,473.0,-1
109,109,640.0,469.0,-1
110,110,704.0,441.0,3
111,111,900.0,546.0,0
112,112,997.0,495.0,0
113,113,719.0,437.0,3
114,114,972.0,480.0,0
115,115,629.0,478.0,7
116,116,1015.0,574.0,-1
117,117,950.0,562.0,0
118,118,962.0,560.0,0
119,119,980.0,568.0,-1
